업종명,업소명,소재지,소재지전화
일반음식점,목장집,부산광역시 금정구 금성동 538,
일반음식점,진주집,부산광역시 금정구 금성동 264,
일반음식점,산장식당,부산광역시 금정구 부곡동 6-1,
일반음식점,금호식당,부산광역시 금정구 구서동 85-6,
일반음식점,에스빈(SBin),부산광역시 금정구 장전동 420-37,051-581-4647
일반음식점,미가분식,부산광역시 금정구 장전동 146-12,
일반음식점,설봉돼지국밥,부산광역시 금정구 장전동 203-5,051-582-9288
일반음식점,구이일번가,부산광역시 금정구 구서동 163-16,051-518-5505
일반음식점,왔다 곰장어,부산광역시 금정구 서동 202-13,051-526-3891
일반음식점,시장식당,부산광역시 금정구 부곡동 304-1,051-515-6383
일반음식점,양산집,부산광역시 금정구 금성동 975,
일반음식점,뚜꺼비골집,부산광역시 금정구 금성동 산 69,051-517-6544
일반음식점,충무집,부산광역시 금정구 금성동 871,
일반음식점,장전분식센타,부산광역시 금정구 장전동 653-37,
일반음식점,다올숯불갈비,부산광역시 금정구 금사동 69-20,051-522-2325
일반음식점,따봉분식,부산광역시 금정구 장전동 400-40,
일반음식점,영월 곤드레밥,부산광역시 금정구 장전동 653-16,051-581-7596
일반음식점,큰손집,부산광역시 금정구 장전동 334-60,051-518-5735
일반음식점,화인,부산광역시 금정구 금사동 106-1,051-523-2001
일반음식점,해동식당,부산광역시 금정구 회동동 557-2,051-523-5559
일반음식점,태영식당,부산광역시 금정구 금사동 68-29,051-523-5393
일반음식점,옥수가든,부산광역시 금정구 남산동 133-4,051-513-0495
일반음식점,생생모밀,부산광역시 금정구 서동 208-2,051-504-2399
일반음식점,이오이오,부산광역시 금정구 부곡동 23-4,051-581-4488
일반음식점,풍년오리박사,부산광역시 금정구 청룡동 45-3,051-508-4642
일반음식점,탑파고다,부산광역시 금정구 청룡동 633-1,051-508-5003
일반음식점,초당마을,부산광역시 금정구 장전동 420-6,
일반음식점,마라향,부산광역시 금정구 장전동 420-33,051-518-5328
일반음식점,송림식당,부산광역시 금정구 장전동 401-19,051-518-6565
일반음식점,장전아구찜마을,부산광역시 금정구 장전동 158-10,051-516-4919
일반음식점,강남웰빙보리밥,부산광역시 금정구 남산동 133-2,051-513-8997
일반음식점,송해반점,부산광역시 금정구 남산동 48-2,051-517-4543
일반음식점,미각반점,부산광역시 금정구 장전동 423-52,
일반음식점,한아름,부산광역시 금정구 부곡동 305-3,051-514-4577
일반음식점,동산원,부산광역시 금정구 청룡동 126-13,051-508-4812
일반음식점,회동식당,부산광역시 금정구 회동동 443-4,051-523-7406
일반음식점,남영각,부산광역시 금정구 장전동 221-12,
일반음식점,칸스타아,부산광역시 금정구 장전동 598-11,
일반음식점,일송정생구이,부산광역시 금정구 장전동 221-9,
일반음식점,신불떡볶이,부산광역시 금정구 장전동 418-50,051-516-4294
일반음식점,빈스,부산광역시 금정구 장전동 422-39,051-515-2248
일반음식점,물고기,부산광역시 금정구 장전동 419-10,051-518-3286
일반음식점,행운반점,부산광역시 금정구 남산동 27-26,
일반음식점,계룡식당,부산광역시 금정구 서동 118-12,051-524-8445
일반음식점,기운센 갈비탕,부산광역시 금정구 서동 198-6,
일반음식점,로얄갤러리,부산광역시 금정구 청룡동 142-1,051-512-0809
일반음식점,성용장,부산광역시 금정구 청룡동 631-6,051-508-5353
일반음식점,장보고 회수산,부산광역시 금정구 청룡동 57-12,051-508-6000
일반음식점,맥시칸통닭,부산광역시 금정구 청룡동 83-12,051-508-6026
일반음식점,팔미식당,부산광역시 금정구 회동동 209-14,
일반음식점,봉계식육식당,부산광역시 금정구 회동동 209-1,051-525-4964
일반음식점,보글보글국밥,부산광역시 금정구 장전동 420-41,051-512-5536
일반음식점,부산밀면,부산광역시 금정구 장전동 425-13 1층,051-582-1110
일반음식점,대가호,부산광역시 금정구 장전동 359-2,051-512-9044
일반음식점,타마루,부산광역시 금정구 장전동 421-17,
일반음식점,부산대우쭈쭈,부산광역시 금정구 장전동 421-17,051-517-0867
일반음식점,酒동아리(주동아리),부산광역시 금정구 장전동 420-11,051-515-1887
일반음식점,구노,부산광역시 금정구 장전동 204-1,051-518-9938
일반음식점,백두대간,부산광역시 금정구 서동 210-2,051-525-3420
일반음식점,대성각,부산광역시 금정구 부곡동 326-14,
일반음식점,송림장,부산광역시 금정구 부곡동 2-2,051-582-3315
일반음식점,목향,"부산광역시 금정구 부곡동 8-5 ,6",051-512-0326
일반음식점,봉구비어부곡점,부산광역시 금정구 부곡동 223-63,051-556-1345
일반음식점,한희궁,부산광역시 금정구 부곡동 296-115,051-512-6473
일반음식점,석천식당,부산광역시 금정구 금성동 431,
일반음식점,본동집,부산광역시 금정구 금성동 534,
일반음식점,아리산대반점,부산광역시 금정구 금사동 144-11,051-526-0479
일반음식점,할매식당,부산광역시 금정구 장전동 147-14,051-518-3492
일반음식점,금퓨전포차2,부산광역시 금정구 장전동 420-20,051-582-4422
일반음식점,골목,부산광역시 금정구 장전동 418-40,051-581-3807
일반음식점,마산분식,부산광역시 금정구 장전동 146-1,
일반음식점,돼지들의합창,부산광역시 금정구 남산동 101-33,051-514-0282
일반음식점,맛갈,부산광역시 금정구 구서동 654-42,051-518-2166
일반음식점,수야식당,부산광역시 금정구 서동 210-5,051-522-9297
일반음식점,옛날통닭,부산광역시 금정구 서동 198-7,051-524-5258
일반음식점,금동,부산광역시 금정구 금성동 557,
일반음식점,신의밥상,부산광역시 금정구 청룡동 632-5,051-508-0442
일반음식점,왕부정,부산광역시 금정구 장전동 423-39 지하1층,051-514-4848
일반음식점,칠성식당,부산광역시 금정구 장전동 422-7,
일반음식점,유달리,부산광역시 금정구 장전동 401-11,051-516-5316
일반음식점,아리산,부산광역시 금정구 남산동 105-6,
일반음식점,투다리,부산광역시 금정구 구서동 415-112,051-512-9291
일반음식점,하이오 구서점,부산광역시 금정구 구서동 415-112,
일반음식점,대복식당,부산광역시 금정구 서동 210-4,
일반음식점,홍해루,부산광역시 금정구 서동 197-21,
일반음식점,기장곰장어,부산광역시 금정구 서동 206-11,051-531-1479
일반음식점,동해양푼동태찌개,부산광역시 금정구 서동 210-20,051-525-0419
일반음식점,역전할머니맥주 서동점,부산광역시 금정구 서동 205-1,051-523-6453
일반음식점,미원각,부산광역시 금정구 부곡동 286-12,051-515-1151
일반음식점,민가네 손만두,부산광역시 금정구 부곡동 392-5,
일반음식점,맛있어요,부산광역시 금정구 구서동 84-1 1층일부,051-515-3325
일반음식점,동천장,부산광역시 금정구 청룡동 633-15,051-508-3601
일반음식점,화신대반점,부산광역시 금정구 금사동 34-4,051-526-8789
일반음식점,홍보석식당,부산광역시 금정구 장전동 420-34,051-581-0950
일반음식점,골목식당,부산광역시 금정구 장전동 421-11,
일반음식점,달빛주막,부산광역시 금정구 장전동 420-11,
일반음식점,리틀프랑,부산광역시 금정구 장전동 418-71,051-581-0056
일반음식점,크라운,부산광역시 금정구 장전동 219-7,
일반음식점,톤쇼우,부산광역시 금정구 장전동 419-21,051-513-5263
일반음식점,바보주막,부산광역시 금정구 장전동 400-42,051-513-4959
일반음식점,남해횟집,부산광역시 금정구 남산동 105-6,051-527-1788
일반음식점,월화수,부산광역시 금정구 남산동 105-6,051-512-6501
일반음식점,아서원반점,부산광역시 금정구 남산동 484-14,
일반음식점,생고기가 맛있는 그집,부산광역시 금정구 구서동 248-22,051-516-0008
일반음식점,가야밀면,부산광역시 금정구 구서동 470-13,051-512-9481
일반음식점,현대식당,부산광역시 금정구 구서동 184-29,051-513-2266
일반음식점,본일식,부산광역시 금정구 구서동 1032-4,051-512-5005
일반음식점,시카고,부산광역시 금정구 장전동 419-21,051-586-2148
일반음식점,까꾸와곰탱이,부산광역시 금정구 장전동 400-42,051-514-7722
일반음식점,소 사,부산광역시 금정구 장전동 417-13,051-517-6939
일반음식점,육회한집,부산광역시 금정구 서동 205-1,
일반음식점,사철식당,부산광역시 금정구 서동 297-348,051-524-1598
일반음식점,제일반점,부산광역시 금정구 서동 165-1,
일반음식점,이찌로,부산광역시 금정구 서동 205-1,051-528-6840
일반음식점,형제아구찜,부산광역시 금정구 서동 209-11,051-529-8295
일반음식점,바쿠스,부산광역시 금정구 부곡동 391-14,051-582-0629
일반음식점,범일국밥,부산광역시 금정구 부곡동 23-12,051-516-7464
일반음식점,열하루족발,부산광역시 금정구 부곡동 325-31,051-517-2117
일반음식점,동백가든,부산광역시 금정구 금성동 967,051-517-6614
일반음식점,석정,부산광역시 금정구 청룡동 634-2,051-508-6381
일반음식점,소문난칼국수,부산광역시 금정구 금사동 68-31,
일반음식점,수원지식당,부산광역시 금정구 회동동 172-8,051-521-0888
일반음식점,성묵푸드,부산광역시 금정구 장전동 362-15,051-514-1590
일반음식점,짬뽕상회 부산대점,부산광역시 금정구 장전동 416-10,051-518-0069
일반음식점,우리터,부산광역시 금정구 장전동 417-8,051-582-4349
일반음식점,홍보성,부산광역시 금정구 장전동 96-11,
일반음식점,씨앤케이컴퍼니,부산광역시 금정구 장전동 419-53,051-514-3553
일반음식점,고혹 부산대점,부산광역시 금정구 장전동 417-33,051-515-1488
일반음식점,짚신매운갈비찜 부산대점,부산광역시 금정구 장전동 418-16,051-503-5339
일반음식점,곱창이야기,부산광역시 금정구 장전동 417-33,051-581-7665
일반음식점,74,부산광역시 금정구 장전동 417-33,051-583-9177
일반음식점,용호각,부산광역시 금정구 남산동 986-7,
일반음식점,아토경양식,부산광역시 금정구 구서동 742-13,051-512-2242
일반음식점,철마환성암소원,부산광역시 금정구 구서동 163-4,051-512-5412
일반음식점,구서 향어회,부산광역시 금정구 구서동 414-39,051-581-2939
일반음식점,금샘횟집,부산광역시 금정구 구서동 164-28,051-517-3134
일반음식점,홍두깨,부산광역시 금정구 구서동 84-1,051-581-1870
일반음식점,금정식당,부산광역시 금정구 구서동 84-1,051-518-8823
일반음식점,더조은치킨,부산광역시 금정구 구서동 655-17,
일반음식점,약수터해장국,부산광역시 금정구 구서동 1012-6,051-515-8232
일반음식점,더마셔,부산광역시 금정구 장전동 418-34,051-581-8069
일반음식점,두기 보드게임,부산광역시 금정구 장전동 419-43 2층전부,
일반음식점,신사동식당,부산광역시 금정구 서동 174-28,051-521-3982
일반음식점,사계절식당,부산광역시 금정구 서동 201-24,051-522-0798
일반음식점,용문각,부산광역시 금정구 부곡동 505-9,051-581-8780
일반음식점,또순이돼지국밥,부산광역시 금정구 서동 190-18,051-521-1300
일반음식점,일차로,부산광역시 금정구 서동 206-9,
일반음식점,마당쇠껍데기와소금구이,부산광역시 금정구 서동 205-8,051-531-6852
일반음식점,아리랑반점,부산광역시 금정구 서동 141-135,051-525-8880
일반음식점,웃음이 도니,부산광역시 금정구 부곡동 393-7,051-556-7413
일반음식점,전원장,부산광역시 금정구 부곡동 5-28,051-514-9997
일반음식점,맥시칸 양념통닭,부산광역시 금정구 부곡동 391-2 경보온천타워 101호,051-518-6760
일반음식점,국수가,부산광역시 금정구 부곡동 65-103,051-514-8118
일반음식점,생생아구촌,부산광역시 금정구 부곡동 304-1,
일반음식점,바로바로도매횟집,부산광역시 금정구 부곡동 391-16,
일반음식점,안동화로1970,부산광역시 금정구 부곡동 65-100,
일반음식점,콜갈비,부산광역시 금정구 부곡동 23-4,051-583-9997
일반음식점,킹 하우스,부산광역시 금정구 부곡동 305-2,051-512-9252
일반음식점,만성장,부산광역시 금정구 부곡동 4,051-515-0888
일반음식점,청운집,부산광역시 금정구 청룡동 633-6,
일반음식점,오동통치킨,부산광역시 금정구 청룡동 17-23,
일반음식점,퇴근길도매수산,부산광역시 금정구 청룡동 50-1,051-508-3035
일반음식점,정든집,부산광역시 금정구 청룡동 633-13,
일반음식점,고메순 감자탕 밀면,부산광역시 금정구 금사동 84-32,051-531-4752
일반음식점,사리원,부산광역시 금정구 회동동 200-2,
일반음식점,풍미기사식당,부산광역시 금정구 금사동 106-13,051-515-2487
일반음식점,돈까스 엔,부산광역시 금정구 장전동 421-23,
일반음식점,성애문현곱창,부산광역시 금정구 장전동 222-2,051-516-5115
일반음식점,옛날 맷돌 순두부,부산광역시 금정구 남산동 99-19,
일반음식점,가장맛있는족발부산대점,부산광역시 금정구 장전동 420-6,051-514-1194
일반음식점,의성마늘족발,부산광역시 금정구 청룡동 83-12,051-996-1628
일반음식점,수평선횟집,부산광역시 금정구 남산동 130-6,
일반음식점,신미식당,부산광역시 금정구 남산동 992-9,051-581-4123
일반음식점,골목 산곰장어 추어탕,부산광역시 금정구 장전동 646-60,
일반음식점,역전할머니맥주 부산대점,부산광역시 금정구 장전동 418-15,051-582-3092
일반음식점,로꼬꼬,부산광역시 금정구 장전동 416-10,051-516-6662
일반음식점,톰아저씨,부산광역시 금정구 장전동 418-59,051-516-4088
일반음식점,고궁삼계탕,부산광역시 금정구 구서동 246-3,
일반음식점,길림성,부산광역시 금정구 구서동 653,051-513-7030
일반음식점,교촌치킨(구서1호),부산광역시 금정구 구서동 1024-1,051-515-0457
일반음식점,해숙이,부산광역시 금정구 구서동 470-14,
일반음식점,모모스테이크,부산광역시 금정구 구서동 415-34,051-583-3421
일반음식점,생활생돈,부산광역시 금정구 구서동 446-1,051-515-9449
일반음식점,진주추어탕,부산광역시 금정구 구서동 178-22,051-581-6993
일반음식점,포장마차분식,부산광역시 금정구 구서동 775-20,
일반음식점,금정수산,부산광역시 금정구 구서동 175-13,051-516-2939
일반음식점,피자스쿨 부산서동점,부산광역시 금정구 서동 196-68,070-7353-8765
일반음식점,청수생복,부산광역시 금정구 서동 121-19,051-529-2001
일반음식점,조이치킨백화점,부산광역시 금정구 서동 177-4,
일반음식점,사계절밀면식당,부산광역시 금정구 서동 201-24,051-526-3904
일반음식점,경주국밥,부산광역시 금정구 서동 209-40,051-531-6660
일반음식점,신난쭈꾸미,부산광역시 금정구 서동 206-12,051-526-5335
일반음식점,뻑가생고기,부산광역시 금정구 서동 542-80,051-583-5828
일반음식점,막끌리는대박,부산광역시 금정구 서동 197-40,051-526-6663
일반음식점,남도오리탕전문점,부산광역시 금정구 서동 197-21,051-525-5977
일반음식점,마라도식당,부산광역시 금정구 서동 210-14,051-524-6177
일반음식점,동경식당,부산광역시 금정구 서동 206-13,051-526-8488
일반음식점,백년삼계탕,부산광역시 금정구 서동 198-7,051-529-7458
일반음식점,수문할매집,부산광역시 금정구 서동 190-17,051-528-8253
일반음식점,대림각,부산광역시 금정구 부곡동 294-8,
일반음식점,기장산곰장어,부산광역시 금정구 부곡동 60-17,051-515-9285
일반음식점,현대분식,부산광역시 금정구 부곡동 276-39,051-581-2351
일반음식점,산청식당,부산광역시 금정구 부곡동 734-21,051-515-0558
일반음식점,전주식당,부산광역시 금정구 부곡동 22-1,051-516-7142
일반음식점,선어횟집,부산광역시 금정구 청룡동 50-1,
일반음식점,쉘부르,부산광역시 금정구 부곡동 65-100,
일반음식점,오리방,부산광역시 금정구 금성동 248-4,
일반음식점,산성 청송가든,부산광역시 금정구 금성동 880-2,051-517-5364
일반음식점,북경반점,부산광역시 금정구 금성동 560-1,051-517-8982
일반음식점,소문난칼국수,부산광역시 금정구 청룡동 58-1,051-508-6056
일반음식점,옥돌식당,부산광역시 금정구 회동동 152-1,
일반음식점,멕시코치킨식당,부산광역시 금정구 금사동 56-21,
일반음식점,강촌식당,부산광역시 금정구 금사동 104-1,
일반음식점,영진돼지국밥,부산광역시 금정구 금사동 69-17,051-527-5233
일반음식점,진주육회,부산광역시 금정구 금사동 134-4,
일반음식점,산호정,부산광역시 금정구 회동동 441-4,
일반음식점,양지분식,부산광역시 금정구 금사동 68-8,
일반음식점,삼천포식당,부산광역시 금정구 회동동 153-15,051-522-4665
일반음식점,나래향,부산광역시 금정구 남산동 96-13,051-515-8230
일반음식점,대웅각,부산광역시 금정구 남산동 481-22,
일반음식점,육해공군,부산광역시 금정구 남산동 104-3,
일반음식점,옥미아구찜 남산점,부산광역시 금정구 남산동 993-42,051-519-1122
일반음식점,목촌나주곰탕왕갈비탕(남산점),부산광역시 금정구 남산동 104-3,
일반음식점,금송짬뽕,부산광역시 금정구 남산동 115-30,051-513-9841
일반음식점,불닭발 동대문 엽기떡볶이(남산점),부산광역시 금정구 남산동 101-32,
일반음식점,땡초치킨,부산광역시 금정구 장전동 420-6,051-517-5179
일반음식점,번아웃커피유닛(Burnout coffee unit)금정점,부산광역시 금정구 장전동 424-32,
일반음식점,1.5담미수제만두,부산광역시 금정구 장전동 424-32,
일반음식점,효원낚지볶음,부산광역시 금정구 장전동 400-40,051-516-7337
일반음식점,인터플레이,부산광역시 금정구 장전동 417-3,051-513-3640
일반음식점,청산별곡,부산광역시 금정구 장전동 501-112,
일반음식점,씨엔에프,부산광역시 금정구 장전동 107-6,051-515-5732
일반음식점,맘스터치(부산대점),부산광역시 금정구 장전동 425-16,
일반음식점,홍콩반점0410 부산대점,부산광역시 금정구 장전동 409-9,051-517-2506
일반음식점,북경,부산광역시 금정구 장전동 588-1,051-512-1472
일반음식점,이디야부산대북문점,부산광역시 금정구 장전동 263-72,051-513-2971
일반음식점,껍사랑 목사랑,부산광역시 금정구 장전동 414-4,051-517-0307
일반음식점,썬더치킨(구서역점),부산광역시 금정구 구서동 413-55,
일반음식점,리틀희,부산광역시 금정구 구서동 1022-10,051-516-2022
일반음식점,오소리순대,부산광역시 금정구 구서동 415-32,051-515-6393
일반음식점,일(1)호포차,부산광역시 금정구 구서동 86-34,051-583-2946
일반음식점,대장군숯불촌,"부산광역시 금정구 구서동 84-3 ,10,11",051-646-3029
일반음식점,다루정,부산광역시 금정구 구서동 420-55,051-513-0098
일반음식점,배비장보쌈,부산광역시 금정구 구서동 84-15,051-515-2106
일반음식점,민성식당,부산광역시 금정구 구서동 85-29,
일반음식점,금정쌈밥,부산광역시 금정구 구서동 742-9,051-516-0089
일반음식점,밀당,부산광역시 금정구 장전동 222-1,051-517-6511
일반음식점,한양족발,부산광역시 금정구 서동 520-185,
일반음식점,노랑통닭,부산광역시 금정구 서동 122-5 1층일부,
일반음식점,대구막창,부산광역시 금정구 서동 206-14,051-529-1270
일반음식점,단미,부산광역시 금정구 서동 204-9,
일반음식점,교촌치킨서동1호점,부산광역시 금정구 서동 210-6,051-525-4880
일반음식점,다온,부산광역시 금정구 서동 122-18,
일반음식점,우리식당,부산광역시 금정구 서동 385-11,051-525-2827
일반음식점,도쿠도쿠,부산광역시 금정구 서동 204-10,051-746-3863
일반음식점,돈토삼겹살,부산광역시 금정구 장전동 422-25,051-518-7707
일반음식점,이가네 한방오리,부산광역시 금정구 부곡동 301-52,
일반음식점,점촌네,부산광역시 금정구 부곡동 65-4,051-516-1367
일반음식점,용문각,부산광역시 금정구 부곡동 393-15,051-512-5394
일반음식점,부산식당,부산광역시 금정구 부곡동 221-32,051-512-0247
일반음식점,아서원,부산광역시 금정구 부곡동 23-13,051-514-1715
일반음식점,가고파대구뽈찜,부산광역시 금정구 부곡동 273-13,051-515-9428
일반음식점,처가집 양념호프,부산광역시 금정구 서동 205-13,051-524-2382
일반음식점,금화정,부산광역시 금정구 부곡동 223-82,051-513-8822
일반음식점,동래베네스트골프클럽 10티하우스,부산광역시 금정구 선동 128-0,051-580-0360
일반음식점,동래베네스트골프클럽 15티하우스,부산광역시 금정구 선동 40-2,051-580-0360
일반음식점,동래베네스트골프클럽 6티하우스,부산광역시 금정구 선동 128-2,051-580-0360
일반음식점,부산컨트리크럽식당,부산광역시 금정구 노포동 368,
일반음식점,부산컨트리크럽7T식당,부산광역시 금정구 노포동 6-4,
일반음식점,가마솥식당,부산광역시 금정구 금성동 234-5,051-517-8100
일반음식점,거창집,부산광역시 금정구 금성동 275,
일반음식점,부일집,부산광역시 금정구 금성동 855,051-517-4645
일반음식점,본토박이,부산광역시 금정구 금성동 220-3,051-515-5038
일반음식점,개화,부산광역시 금정구 부곡동 387-7,051-513-2584
일반음식점,대원식당,부산광역시 금정구 회동동 208-13,051-528-4625
일반음식점,한가네식당,부산광역시 금정구 금사동 107-12,
일반음식점,부산식당,부산광역시 금정구 금사동 110-1,
일반음식점,인혜양분식,부산광역시 금정구 회동동 208-25,
일반음식점,골프식당,부산광역시 금정구 남산동 263-5,
일반음식점,남산식당,부산광역시 금정구 남산동 196-2,
일반음식점,남산분식,부산광역시 금정구 남산동 196-2,051-516-3560
일반음식점,놀부보쌈,부산광역시 금정구 남산동 112-11,051-515-7959
일반음식점,최고집 참맛 바다장어,부산광역시 금정구 남산동 970-1,
일반음식점,남산 산곰장어,부산광역시 금정구 남산동 101-32,
일반음식점,금샘루,,
일반음식점,육회이야기,부산광역시 금정구 장전동 420-20,
일반음식점,치킨신드롬,부산광역시 금정구 장전동 418-22,
일반음식점,성화분식,부산광역시 금정구 부곡동 726-7,051-581-6239
일반음식점,형제돼지갈비,부산광역시 금정구 장전동 464-52,
일반음식점,못난남자,부산광역시 금정구 장전동 420-3,070-4228-8447
일반음식점,노스 정문점,부산광역시 금정구 장전동 403-22,051-758-0376
일반음식점,아리산반점,부산광역시 금정구 장전동 414-16,
일반음식점,온달포차,부산광역시 금정구 장전동 425-2,051-582-8289
일반음식점,오뚜기분식,부산광역시 금정구 장전동 225-4,051-513-5640
일반음식점,야마즈미 우동,부산광역시 금정구 장전동 419-63,051-583-1355
일반음식점,거누광장,부산광역시 금정구 장전동 418-14,051-784-8230
일반음식점,장터,부산광역시 금정구 장전동 204-12,
일반음식점,옛골 보리밥집,부산광역시 금정구 장전동 338-25,
일반음식점,부대막창&포차,부산광역시 금정구 장전동 418-35,051-512-2547
일반음식점,포차고고 부산대점,부산광역시 금정구 장전동 418-14,051-526-7008
일반음식점,일문옥,부산광역시 금정구 장전동 424-9,
일반음식점,청정다슬기전문점,부산광역시 금정구 장전동 521-254,051-581-5508
일반음식점,부대포차,부산광역시 금정구 장전동 421-20,
일반음식점,돈워리돈까스,부산광역시 금정구 장전동 152-18,
일반음식점,수제맥주집,부산광역시 금정구 장전동 389-51,051-515-1181
일반음식점,고기굽는남자 구서점,부산광역시 금정구 구서동 446-6,
일반음식점,지리산 청학동식당,부산광역시 금정구 구서동 161-40,
일반음식점,연희옥,부산광역시 금정구 구서동 420-20,051-583-4406
일반음식점,서울깍두기,부산광역시 금정구 구서동 159-29,051-583-3522
일반음식점,금정면옥,부산광역시 금정구 구서동 1013-5,051-512-8858
일반음식점,궁전식당,부산광역시 금정구 구서동 444-4,051-517-1910
일반음식점,동키치킨,부산광역시 금정구 구서동 163-18,
일반음식점,수성,부산광역시 금정구 구서동 164-22,051-515-8054
일반음식점,우정갈비,부산광역시 금정구 구서동 1032-8,051-513-2100
일반음식점,체리,부산광역시 금정구 구서동 1022-14,051-515-8314
일반음식점,고성통닭,부산광역시 금정구 서동 302-1207,051-529-4407
일반음식점,화이트하우스,부산광역시 금정구 서동 194-15,051-521-0709
일반음식점,제이비상사(힘찬곰장어),부산광역시 금정구 서동 204-3,051-526-8892
일반음식점,술주까? 밥주까?,부산광역시 금정구 서동 199-3,051-522-4141
일반음식점,물고기야,부산광역시 금정구 서동 204-9,051-525-2773
일반음식점,서동산꼼장어,부산광역시 금정구 서동 206-10,051-524-9686
일반음식점,형제반점,부산광역시 금정구 서동 520-12,
일반음식점,우래국밥,부산광역시 금정구 서동 174-26,051-524-1241
일반음식점,숙이삼계탕,부산광역시 금정구 서동 198-2,051-529-1574
일반음식점,부영식당,부산광역시 금정구 서동 177-5,051-524-4873
일반음식점,강나루,부산광역시 금정구 서동 208-13,051-524-1353
일반음식점,퓨전,부산광역시 금정구 부곡동 873-31,051-582-4838
일반음식점,청정횟집,부산광역시 금정구 부곡동 23-13,051-513-9997
일반음식점,고성,부산광역시 금정구 부곡동 326-1,051-518-0202
일반음식점,조아돼지국밥,부산광역시 금정구 부곡동 324-27,051-581-7151
일반음식점,부영궁중국관,부산광역시 금정구 부곡동 255-1,
일반음식점,커피앤코이,부산광역시 금정구 부곡동 224-54,051-513-3513
일반음식점,대일반점,부산광역시 금정구 부곡동 17-10,051-518-1533
일반음식점,콩밭골 순두부,부산광역시 금정구 부곡동 22-17,051-583-9124
일반음식점,희락,부산광역시 금정구 부곡동 324-1,051-516-2257
일반음식점,초원산장,부산광역시 금정구 금성동 648,051-517-1021
일반음식점,다래,부산광역시 금정구 청룡동 45-8,051-508-5081
일반음식점,그자리 경양식,부산광역시 금정구 청룡동 17-7,051-508-5651
일반음식점,금사집밥한식부페,부산광역시 금정구 금사동 68-24,
일반음식점,성은통닭,부산광역시 금정구 금사동 68-11,
